id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
5059	"hankinson, susan e"	0.3668	0.0589	2	19	52	16	2016.3125
5082	"harbeck, nadia"	-1.474	-0.5019	14	2	2	5	2016.4
5096	"harkness, elaine f"	-1.3749	0.518	20	3	12	5	2017.2
5134	"hartmann, lynn c"	-0.3001	0.0131	3	15	40	6	2016.5
5193	"hawley, sarah t"	-0.6041	-0.5733	17	9	44	11	2016.5455
5250	"hebert, james r"	0.1965	0.6281	13	7	11	5	2016.4
5321	"henderson, louise m"	-0.294	0.1488	10	18	37	10	2016.3
5336	"hennigs, andre"	0.6438	0.7006	6	3	10	5	2016.4
5341	"henry, n lynn"	0.1125	-0.2029	2	6	8	6	2017
5374	"herschorn, sally d"	-0.1671	0.308	3	27	54	5	2015.6
5376	"hershman, dawn l"	0.0049	-0.323	2	18	37	12	2016.0833
5388	"heusinger, katharina"	0.3581	0.4179	6	14	35	5	2016.4
5427	"hines, lisa m"	0.0173	-0.4924	4	8	31	6	2016.6667
5490	"hofvind, solveig"	-0.2674	0.5019	13	4	12	7	2017.1429
5525	"hong, chi-chen"	0.4392	-0.793	5	21	138	14	2016.2143
5546	"hoover, robert n"	0.0103	-0.0555	3	14	22	7	2017
5552	"hopper, john l"	0.8331	0.1829	11	15	59	13	2016.3077
5569	"hortobagyi, gabriel n"	-0.4817	-0.3322	1	12	16	5	2015.8
5574	"hoskin, tanya l"	-0.5873	-0.0265	1	9	29	11	2016.7273
5599	"houssami, nehmat"	-0.4789	0.1814	10	3	4	6	2016.8333
5603	"howell, anthony"	-1.3466	0.5495	20	3	11	5	2016.6
5639	"hu, qiang"	0.4698	-0.9551	5	17	59	5	2016.6
5666	"huang, chiun-sheng"	1.7719	0.3299	8	7	19	5	2015.8
5724	"hubbard, rebecca a"	-0.3949	0.3147	10	9	26	6	2016.5
5727	"hudis, clifford a"	-0.4236	-0.295	1	6	7	7	2016.1429
5751	"humphreys, keith"	-0.5315	0.5518	18	7	43	11	2016.8182
5765	"hunt, kelly k"	-0.6985	-0.1796	1	12	15	5	2016.8
5772	"huo, dezheng"	0.185	-0.5418	4	11	20	9	2017.1111
5779	"hurria, arti"	-0.3993	-0.2783	1	5	6	5	2017
5989	"jagsi, reshma"	-0.5933	-0.5013	17	15	45	11	2016.8182
6048	"janz, nancy k"	-0.5074	-0.5669	17	9	21	6	2016.8333
6083	"jenkins, mark a"	0.8248	0.2295	11	12	32	5	2017
6093	"jensen, matthew r"	0.1967	0.2818	6	24	65	6	2016
6229	"johansen, christoffer"	-0.0285	-0.8495	19	1	1	6	2016
6233	"john, esther m"	-0.0995	-0.5967	4	31	123	19	2017
6300	"jud, sebastian m"	0.3573	0.4712	6	14	39	6	2016.6667
6493	"karssemeijer, nico"	-0.0271	-0.3996	19	9	10	8	2016.875
6523	"katz, steven j"	-0.5535	-0.5501	17	9	47	10	2017.1
6570	"keating, nancy l"	-0.435	-0.2413	1	2	7	7	2016.1429
6586	"keller, brad m"	-0.1522	0.6147	12	5	17	5	2015.4
6618	"kerlikowske, karla"	-0.1061	0.2944	10	40	131	21	2016.4286
6665	"khan, seema a"	0.3996	-0.1631	2	2	5	10	2016.6
6695	"kidwell, kelley m"	0.0986	-0.1668	2	4	8	6	2016.5
6706	"killelea, brigid k"	-1.3986	-0.4436	14	8	15	7	2016
6729	"kim, hak hee"	1.5335	0.3411	8	6	7	5	2016.6
6816	"kim, won hwa"	1.6388	0.3601	8	13	30	8	2015.875
6886	"knight, julia a"	-0.2789	-0.7212	15	13	71	9	2017
6928	"kogevinas, manolis"	-0.5477	1.1278	7	12	64	8	2016.625
6951	"kolonel, laurence n"	0.2327	-0.4779	5	25	64	8	2015.625
6975	"kontos, despina"	-0.1344	0.5745	12	9	27	10	2016.1
6979	"koo, jocelyn"	-0.0744	-0.5146	4	10	20	5	2017.4
